"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2021","14,345.18","14,396.63","14,401.71","14,324.26","248.90M","-0.14%"
"Jun 24, 2021","14,365.96","14,358.30","14,429.14","14,337.65","146.08M","0.64%"
"Jun 23, 2021","14,274.24","14,275.09","14,324.74","14,247.58","132.78M","0.03%"
"Jun 22, 2021","14,270.42","14,140.29","14,288.49","14,128.01","149.36M","0.94%"
"Jun 21, 2021","14,137.23","14,055.04","14,150.91","13,967.89","159.46M","0.62%"
"Jun 18, 2021","14,049.58","14,125.12","14,140.62","14,024.61","403.49M","-0.81%"
"Jun 17, 2021","14,163.81","13,946.70","14,205.43","13,946.52","190.93M","1.29%"
"Jun 16, 2021","13,983.01","14,053.12","14,100.11","13,843.60","170.77M","-0.34%"
"Jun 15, 2021","14,030.41","14,120.81","14,126.25","14,008.93","139.28M","-0.69%"
"Jun 14, 2021","14,128.20","14,002.14","14,129.33","13,963.94","152.38M","0.93%"
"Jun 11, 2021","13,998.30","13,959.47","13,998.65","13,934.00","138.26M","0.27%"
"Jun 10, 2021","13,960.35","13,834.26","13,962.99","13,817.83","161.48M","1.05%"
"Jun 09, 2021","13,814.94","13,865.51","13,900.71","13,811.05","142.01M","0.03%"
"Jun 08, 2021","13,810.86","13,873.46","13,913.40","13,746.42","171.52M","0.06%"
"Jun 07, 2021","13,802.89","13,744.15","13,808.42","13,710.11","158.49M","0.23%"
"Jun 04, 2021","13,770.78","13,619.79","13,784.77","13,613.58","148.48M","1.78%"
"Jun 03, 2021","13,529.68","13,568.91","13,608.54","13,469.85","157.94M","-1.07%"
"Jun 02, 2021","13,675.79","13,655.71","13,712.68","13,610.16","151.45M","0.16%"
"Jun 01, 2021","13,654.59","13,764.27","13,773.45","13,602.12","157.44M","-0.23%"
"May 28, 2021","13,686.51","13,717.00","13,765.80","13,684.83","164.33M","0.21%"
"May 27, 2021","13,657.85","13,686.87","13,724.76","13,652.13","307.94M","-0.33%"
"May 26, 2021","13,702.74","13,687.71","13,726.06","13,661.06","153.50M","0.33%"
"May 25, 2021","13,657.73","13,701.30","13,734.41","13,614.54","154.43M","0.12%"
"May 24, 2021","13,641.75","13,504.39","13,687.61","13,500.12","154.55M","1.72%"
"May 21, 2021","13,411.74","13,573.22","13,573.84","13,401.53","173.17M","-0.61%"
"May 20, 2021","13,494.09","13,294.59","13,526.01","13,293.10","185.10M","1.94%"
"May 19, 2021","13,237.91","12,998.53","13,243.97","12,994.35","201.18M","0.15%"
"May 18, 2021","13,217.68","13,352.26","13,400.52","13,212.85","160.78M","-0.72%"
"May 17, 2021","13,312.91","13,329.87","13,350.14","13,196.57","159.04M","-0.60%"
"May 14, 2021","13,393.12","13,238.99","13,430.00","13,220.18","175.04M","2.17%"
"May 13, 2021","13,109.15","13,133.73","13,226.64","13,006.77","195.42M","0.83%"
"May 12, 2021","13,001.63","13,155.07","13,236.89","12,967.18","219.84M","-2.62%"
"May 11, 2021","13,351.27","13,102.64","13,381.66","13,094.76","207.66M","-0.06%"
"May 10, 2021","13,359.08","13,647.73","13,648.49","13,358.62","217.49M","-2.63%"
"May 07, 2021","13,719.63","13,715.56","13,814.66","13,669.78","171.70M","0.78%"
"May 06, 2021","13,613.73","13,490.94","13,617.33","13,403.46","192.04M","0.82%"
"May 05, 2021","13,503.37","13,649.12","13,676.86","13,478.58","180.30M","-0.30%"
"May 04, 2021","13,544.67","13,680.63","13,705.38","13,396.11","221.33M","-1.85%"
"May 03, 2021","13,799.72","13,923.04","13,955.00","13,784.66","166.86M","-0.44%"
"Apr 30, 2021","13,860.76","13,857.79","13,969.21","13,838.82","211.03M","-0.78%"
"Apr 29, 2021","13,970.21","14,063.94","14,073.48","13,836.10","197.09M","0.49%"
"Apr 28, 2021","13,901.62","13,953.61","13,992.08","13,895.15","199.19M","-0.42%"
"Apr 27, 2021","13,960.28","14,048.13","14,048.34","13,931.18","168.17M","-0.47%"
"Apr 26, 2021","14,026.16","13,954.94","14,039.40","13,919.93","161.38M","0.61%"
"Apr 23, 2021","13,941.44","13,794.49","13,989.43","13,789.45","172.09M","1.30%"
"Apr 22, 2021","13,762.36","13,920.88","13,954.03","13,716.76","172.74M","-1.24%"
"Apr 21, 2021","13,935.15","13,768.92","13,939.70","13,717.44","166.85M","0.91%"
"Apr 20, 2021","13,809.30","13,891.96","13,934.89","13,730.59","161.46M","-0.71%"
"Apr 19, 2021","13,907.67","13,970.83","14,025.64","13,835.75","177.42M","-0.96%"
"Apr 16, 2021","14,041.91","14,035.96","14,050.38","13,966.54","194.73M","0.11%"
"Apr 15, 2021","14,026.20","13,934.87","14,040.11","13,931.01","177.92M","1.61%"
"Apr 14, 2021","13,803.91","13,988.87","13,990.54","13,782.17","161.34M","-1.31%"
"Apr 13, 2021","13,986.49","13,874.58","14,002.53","13,874.58","164.97M","1.21%"
"Apr 12, 2021","13,819.35","13,792.74","13,839.39","13,747.63","178.22M","-0.19%"
"Apr 09, 2021","13,845.05","13,709.67","13,849.31","13,674.92","160.65M","0.63%"
"Apr 08, 2021","13,758.50","13,730.73","13,763.18","13,703.51","163.89M","1.04%"
"Apr 07, 2021","13,616.70","13,553.90","13,648.80","13,532.63","144.11M","0.28%"
"Apr 06, 2021","13,578.46","13,567.21","13,660.29","13,551.60","163.84M","-0.14%"
"Apr 05, 2021","13,598.16","13,434.04","13,623.60","13,420.81","178.50M","2.02%"
"Apr 01, 2021","13,329.51","13,268.88","13,333.41","13,255.82","187.35M","1.82%"
"Mar 31, 2021","13,091.44","12,970.33","13,167.06","12,966.65","247.92M","1.51%"
"Mar 30, 2021","12,896.53","12,904.01","12,929.46","12,798.03","172.82M","-0.53%"
"Mar 29, 2021","12,965.74","12,950.51","13,013.47","12,836.60","199.25M","-0.10%"
"Mar 26, 2021","12,979.12","12,777.27","12,992.30","12,721.66","253.00M","1.55%"
"Mar 25, 2021","12,780.51","12,707.58","12,845.66","12,627.92","216.99M","-0.14%"
"Mar 24, 2021","12,798.88","13,072.82","13,077.49","12,797.84","208.06M","-1.68%"
"Mar 23, 2021","13,017.79","13,127.17","13,180.66","12,993.50","203.45M","-0.53%"
"Mar 22, 2021","13,086.51","12,943.14","13,167.46","12,943.14","209.33M","1.71%"
"Mar 19, 2021","12,866.99","12,792.67","12,906.02","12,704.07","575.60M","0.61%"
"Mar 18, 2021","12,789.14","13,006.29","13,040.36","12,781.53","226.02M","-3.13%"
"Mar 17, 2021","13,202.38","13,024.83","13,280.29","12,950.08","220.85M","0.38%"
"Mar 16, 2021","13,152.28","13,156.65","13,297.48","13,091.78","186.93M","0.53%"
"Mar 15, 2021","13,082.54","12,936.13","13,085.01","12,885.64","180.21M","1.12%"
"Mar 12, 2021","12,937.29","12,873.39","12,943.58","12,778.13","184.56M","-0.89%"
"Mar 11, 2021","13,052.90","12,960.54","13,117.87","12,920.00","211.63M","2.36%"
"Mar 10, 2021","12,752.07","12,950.25","12,979.38","12,726.85","214.22M","-0.33%"
"Mar 09, 2021","12,794.49","12,635.45","12,868.52","12,592.83","252.07M","4.03%"
"Mar 08, 2021","12,299.08","12,629.56","12,718.58","12,287.57","273.33M","-2.92%"
"Mar 05, 2021","12,668.51","12,594.16","12,700.96","12,208.39","302.02M","1.64%"
"Mar 04, 2021","12,464.00","12,655.92","12,799.08","12,314.16","307.81M","-1.73%"
"Mar 03, 2021","12,683.33","13,020.10","13,057.29","12,679.89","230.65M","-2.88%"
"Mar 02, 2021","13,059.95","13,297.76","13,301.62","13,052.12","195.31M","-1.68%"
"Mar 01, 2021","13,282.95","13,106.02","13,293.78","13,051.70","207.57M","2.89%"
"Feb 26, 2021","12,909.44","12,958.96","13,090.36","12,764.34","312.55M","0.63%"
"Feb 25, 2021","12,828.31","13,197.75","13,294.56","12,773.76","260.93M","-3.56%"
"Feb 24, 2021","13,302.19","13,095.86","13,312.42","12,971.82","214.77M","0.81%"
"Feb 23, 2021","13,194.71","12,982.36","13,259.85","12,758.12","261.29M","-0.22%"
"Feb 22, 2021","13,223.74","13,414.04","13,447.37","13,220.77","215.66M","-2.63%"
"Feb 19, 2021","13,580.78","13,686.23","13,701.69","13,545.45","193.94M","-0.42%"
"Feb 18, 2021","13,637.51","13,556.01","13,669.94","13,477.17","169.46M","-0.45%"
"Feb 17, 2021","13,699.71","13,636.15","13,713.14","13,552.67","163.37M","-0.54%"
"Feb 16, 2021","13,773.77","13,841.03","13,879.78","13,726.78","168.06M","-0.25%"
"Feb 12, 2021","13,807.70","13,695.90","13,816.25","13,656.78","137.79M","0.53%"
"Feb 11, 2021","13,734.35","13,723.63","13,747.20","13,637.19","156.64M","0.58%"
"Feb 10, 2021","13,655.27","13,751.42","13,770.91","13,531.93","175.91M","-0.23%"
"Feb 09, 2021","13,687.08","13,667.13","13,741.79","13,664.70","151.60M","-0.06%"
"Feb 08, 2021","13,695.02","13,672.33","13,698.41","13,607.96","181.11M","0.67%"
"Feb 05, 2021","13,603.96","13,592.77","13,642.96","13,527.80","172.27M","0.32%"
"Feb 04, 2021","13,560.89","13,454.85","13,563.13","13,406.44","195.08M","1.18%"
"Feb 03, 2021","13,402.37","13,555.03","13,561.45","13,400.08","181.61M","-0.40%"
"Feb 02, 2021","13,456.12","13,371.37","13,501.23","13,363.75","191.13M","1.56%"
